Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen;TOTAL;ERNEUERBARE;RESIDUAL;TOTAL_data.py;ERNEUERBAR_data.py;RESIDUAL_data.py
05.10.2024 00:00;05.10.2024 00:15;1.036,00;573,25;0;1.401,50;0;23,25;-;2.899,00;1.137,50;864,75;71;343;8.349,25;3.105,00;5.244,25;8349.25;3105.0;5244.25
05.10.2024 00:15;05.10.2024 00:30;1.033,75;539,25;0;1.374,75;0;23,25;-;2.897,75;1.078,25;855;49,5;334,75;8.186,25;3.020,50;5.165,75;8186.25;3020.5;5165.75
05.10.2024 00:30;05.10.2024 00:45;1.030,25;540,25;0;1.328,75;0;23,25;-;2.891,50;1.024,75;855,25;27,75;336,75;8.058,50;2.950,25;5.108,25;8058.5;2950.25;5108.25
05.10.2024 00:45;05.10.2024 01:00;1.030,25;539;0;1.298,00;0;23,25;-;2.883,75;986;859;21,5;336,75;7.977,50;2.912,00;5.065,50;7977.5;2912.0;5065.5
05.10.2024 01:00;05.10.2024 01:15;1.031,50;543;0;1.259,75;0;22,5;-;2.885,25;965,5;839;36,5;336,75;7.919,75;2.893,25;5.026,50;7919.75;2893.25;5026.5
05.10.2024 01:15;05.10.2024 01:30;1.029,50;539;0,25;1.231,00;0;22,5;-;2.882,75;922,25;837,75;14,75;336,75;7.816,50;2.837,00;4.979,50;7816.5;2837.0;4979.5
05.10.2024 01:30;05.10.2024 01:45;1.030,25;536,5;1;1.204,00;0;22,5;-;2.873,25;871;837,5;13,25;337;7.726,25;2.807,50;4.918,75;7726.25;2807.5;4918.75
05.10.2024 01:45;05.10.2024 02:00;1.033,00;526,25;1,25;1.169,50;0;22,5;-;2.888,75;811,25;837,75;17;336,25;7.643,50;2.769,50;4.874,00;7643.5;2769.5;4874.0 
05.10.2024 02:00;05.10.2024 02:15;1.036,25;531,5;1,5;1.131,00;0;22,5;-;2.889,50;686,25;831;45;334,5;7.509,00;2.767,75;4.741,25;7509.0;2767.75;4741.25
05.10.2024 02:15;05.10.2024 02:30;1.037,00;525,25;1,75;1.098,00;0;22,5;-;2.879,75;643,75;830,5;28,25;332,75;7.399,50;2.712,75;4.686,75;7399.5;2712.75;4686.75
05.10.2024 02:30;05.10.2024 02:45;1.037,00;529;2,75;1.056,75;0;22,5;-;2.888,50;637,75;830,75;15;331,25;7.351,25;2.663,00;4.688,25;;;
05.10.2024 02:45;05.10.2024 03:00;1.039,50;533,5;4,25;1.020,75;0;22,5;-;2.883,50;612,5;820,25;18,25;331,25;7.286,25;2.638,75;4.647,50;;;
05.10.2024 03:00;05.10.2024 03:15;1.048,00;547;3,25;985,75;0;22,5;-;2.898,50;604;823,5;25;330,5;7.288,00;2.631,50;4.656,50;;;
05.10.2024 03:15;05.10.2024 03:30;1.051,50;531,25;3,75;948,5;0;22,5;-;2.897,25;601,75;823,5;19;330,25;7.229,25;2.576,50;4.652,75;;;
05.10.2024 03:30;05.10.2024 03:45;1.056,25;531,5;5,5;913,25;0;22,5;-;2.901,00;603,75;821,25;18,75;329,75;7.203,50;2.547,75;4.655,75;;;
05.10.2024 03:45;05.10.2024 04:00;1.059,00;540,75;6,25;887,25;0;22,5;-;2.895,00;606,75;820,5;51;332;7.221,00;2.566,75;4.654,25;;;
