Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.01.2024 00:00;01.01.2024 00:15;1.002,00;448,00;1.459,75;7.386,50;0,75;25,25;0,00;838,25;463,75;757,50;189,00;284,25
01.01.2024 00:15;01.01.2024 00:30;1.002,50;453,00;1.437,00;7.301,00;0,75;25,25;0,00;869,25;465,75;713,75;102,75;285,50
01.01.2024 00:30;01.01.2024 00:45;1.003,25;448,50;1.404,50;7.303,00;0,50;25,25;0,00;844,75;464,00;713,75;112,25;284,00
01.01.2024 00:45;01.01.2024 01:00;1.003,75;445,25;1.378,00;7.405,00;0,50;25,25;0,00;839,50;467,25;708,25;85,50;280,25
01.01.2024 01:00;01.01.2024 01:15;998,75;445,00;1.366,00;7.420,25;0,75;25,25;0,00;840,50;465,75;710,50;120,75;280,00
01.01.2024 01:15;01.01.2024 01:30;997,50;454,00;1.335,75;7.385,00;0,50;25,25;0,00;844,75;464,75;706,50;101,75;278,25
01.01.2024 01:30;01.01.2024 01:45;995,25;447,50;1.320,50;7.322,00;0,50;25,00;0,00;847,00;461,50;707,75;96,75;280,00
01.01.2024 01:45;01.01.2024 02:00;994,50;446,75;1.323,50;7.386,25;0,50;25,00;0,00;840,50;462,75;699,75;96,50;281,00
01.01.2024 02:00;01.01.2024 02:15;993,50;469,00;1.340,00;7.391,75;0,75;25,00;0,00;842,75;458,50;710,25;113,00;278,50
01.01.2024 02:15;01.01.2024 02:30;995,50;450,25;1.336,00;7.367,50;0,50;25,00;0,00;842,25;457,50;713,75;97,50;277,75
01.01.2024 02:30;01.01.2024 02:45;991,75;448,00;1.296,50;7.373,00;0,50;25,00;0,00;845,25;456,50;715,75;96,75;277,50
01.01.2024 02:45;01.01.2024 03:00;991,50;448,00;1.216,00;7.362,50;0,50;25,00;0,00;843,25;456,25;712,50;96,50;278,00
01.01.2024 03:00;01.01.2024 03:15;986,75;466,25;1.151,75;7.332,00;0,50;25,00;0,00;848,50;456,00;718,00;94,75;278,25
01.01.2024 03:15;01.01.2024 03:30;986,75;456,25;1.145,75;7.258,75;0,50;25,00;0,00;851,25;454,75;717,50;79,25;279,50
01.01.2024 03:30;01.01.2024 03:45;987,75;453,00;1.190,75;7.212,00;0,75;25,00;0,00;845,50;453,50;719,75;79,25;281,50
01.01.2024 03:45;01.01.2024 04:00;989,00;447,00;1.186,00;7.232,75;0,50;25,00;0,00;847,75;453,25;719,00;72,25;283,00
01.01.2024 04:00;01.01.2024 04:15;987,25;462,75;1.144,75;7.227,75;0,50;25,00;0,00;848,25;456,50;718,50;41,25;279,50
01.01.2024 04:15;01.01.2024 04:30;988,50;462,25;1.110,75;7.347,75;0,50;25,00;0,00;849,25;458,00;717,25;43,50;277,50
