Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2015 00:00;01.01.2015 00:15;11.210,00;9.051,75;123,00
01.01.2015 00:15;01.01.2015 00:30;11.118,75;8.966,50;154,25
01.01.2015 00:30;01.01.2015 00:45;11.144,75;8.976,00;160,50
01.01.2015 00:45;01.01.2015 01:00;11.126,75;8.961,50;163,75
01.01.2015 01:00;01.01.2015 01:15;11.009,50;8.835,00;87,50
01.01.2015 01:15;01.01.2015 01:30;10.923,25;8.718,75;86,00
01.01.2015 01:30;01.01.2015 01:45;10.817,00;8.613,50;86,25
01.01.2015 01:45;01.01.2015 02:00;10.705,00;8.473,75;86,50
01.01.2015 02:00;01.01.2015 02:15;10.650,00;8.386,50;86,25
01.01.2015 02:15;01.01.2015 02:30;10.546,75;8.284,00;94,25
01.01.2015 02:30;01.01.2015 02:45;10.437,75;8.180,75;120,75
01.01.2015 02:45;01.01.2015 03:00;10.328,75;8.058,00;220,50
01.01.2015 03:00;01.01.2015 03:15;10.258,00;7.980,00;285,25
01.01.2015 03:15;01.01.2015 03:30;10.178,00;7.923,00;293,00
01.01.2015 03:30;01.01.2015 03:45;10.119,25;7.868,00;326,50
01.01.2015 03:45;01.01.2015 04:00;10.062,50;7.777,00;323,50
01.01.2015 04:00;01.01.2015 04:15;10.035,25;7.721,50;430,25
01.01.2015 04:15;01.01.2015 04:30;9.963,25;7.652,50;435,25
01.01.2015 04:30;01.01.2015 04:45;9.980,00;7.700,00;446,75
01.01.2015 04:45;01.01.2015 05:00;9.958,25;7.699,50;509,25
01.01.2015 05:00;01.01.2015 05:15;9.940,25;7.610,25;562,25
01.01.2015 05:15;01.01.2015 05:30;9.867,00;7.550,25;598,75
01.01.2015 05:30;01.01.2015 05:45;9.795,00;7.494,25;637,00
01.01.2015 05:45;01.01.2015 06:00;9.670,25;7.386,00;660,25
01.01.2015 06:00;01.01.2015 06:15;9.472,25;7.159,25;679,50
01.01.2015 06:15;01.01.2015 06:30;9.445,75;7.079,25;725,75
01.01.2015 06:30;01.01.2015 06:45;9.477,00;7.001,00;747,25
01.01.2015 06:45;01.01.2015 07:00;9.455,25;6.922,00;714,75
01.01.2015 07:00;01.01.2015 07:15;9.487,00;6.951,25;730,00
01.01.2015 07:15;01.01.2015 07:30;9.488,00;6.921,00;732,75
01.01.2015 07:30;01.01.2015 07:45;9.539,75;6.930,75;742,25
01.01.2015 07:45;01.01.2015 08:00;9.583,75;6.964,25;696,25
01.01.2015 08:00;01.01.2015 08:15;9.626,00;7.029,75;754,00
01.01.2015 08:15;01.01.2015 08:30;9.631,75;7.020,00;777,50
01.01.2015 08:30;01.01.2015 08:45;9.696,75;7.171,25;571,75
01.01.2015 08:45;01.01.2015 09:00;9.838,00;7.310,25;536,50
01.01.2015 09:00;01.01.2015 09:15;10.061,25;7.509,25;523,00
01.01.2015 09:15;01.01.2015 09:30;10.244,75;7.584,75;416,75
01.01.2015 09:30;01.01.2015 09:45;10.448,00;7.698,00;414,50
01.01.2015 09:45;01.01.2015 10:00;10.652,25;7.812,25;419,00
01.01.2015 10:00;01.01.2015 10:15;10.804,25;7.846,50;417,75
01.01.2015 10:15;01.01.2015 10:30;10.971,00;7.898,50;311,25
01.01.2015 10:30;01.01.2015 10:45;11.157,00;7.929,25;298,25
01.01.2015 10:45;01.01.2015 11:00;11.334,25;7.925,50;272,50
01.01.2015 11:00;01.01.2015 11:15;11.586,50;8.058,25;213,50
01.01.2015 11:15;01.01.2015 11:30;11.739,75;8.113,25;148,75
01.01.2015 11:30;01.01.2015 11:45;11.888,25;8.157,25;137,75
01.01.2015 11:45;01.01.2015 12:00;11.991,75;8.123,50;208,25
01.01.2015 12:00;01.01.2015 12:15;12.071,50;8.099,00;171,50
01.01.2015 12:15;01.01.2015 12:30;12.162,25;8.065,50;235,75
01.01.2015 12:30;01.01.2015 12:45;12.174,75;8.043,75;181,75
01.01.2015 12:45;01.01.2015 13:00;12.093,75;7.992,75;300,25
01.01.2015 13:00;01.01.2015 13:15;12.000,00;7.928,75;185,75
01.01.2015 13:15;01.01.2015 13:30;11.888,25;7.810,25;213,50
