Jahr_von;Zeit_von;Waermepumpe[in kWh];Elektroauto[Tagesnormiert]
01.01.2020;00:00:00;0,180592803;0,007415295
01.01.2020;00:15:00;0,18063101;0,006954316
01.01.2020;00:30:00;0,18123842;0,006489973
01.01.2020;00:45:00;0,181070874;0,006046939
01.01.2020;01:00:00;0,180944924;0,005589121
01.01.2020;01:15:00;0,180256858;0,005211039
01.01.2020;01:30:00;0,180224119;0,00486948
01.01.2020;01:45:00;0,180833724;0,004399814
01.01.2020;02:00:00;0,18122206;0,004308046
01.01.2020;02:15:00;0,181160487;0,004232797
01.01.2020;02:30:00;0,180772324;0,004194255
01.01.2020;02:45:00;0,181117237;0,004194255
01.01.2020;03:00:00;0,182308663;0,004219949
01.01.2020;03:15:00;0,183838547;0,004150206
01.01.2020;03:30:00;0,183740893;0,004135523
01.01.2020;03:45:00;0,183412788;0,004227291
01.01.2020;04:00:00;0,183265765;0,004227291
01.01.2020;04:15:00;0,18294802;0,004293363
01.01.2020;04:30:00;0,183198378;0,004574434
01.01.2020;04:45:00;0,183602987;0,005438622
01.01.2020;05:00:00;0,183690151;0,005677035
01.01.2020;05:15:00;0,183316712;0,006252417
01.01.2020;05:30:00;0,183931525;0,007157887
01.01.2020;05:45:00;0,184149368;0,007633335
01.01.2020;06:00:00;0,184264999;0,008616533
01.01.2020;06:15:00;0,185313627;0,010044894
01.01.2020;06:30:00;0,185193502;0,011006028
01.01.2020;06:45:00;0,185367362;0,011311745
01.01.2020;07:00:00;0,186480617;0,012076903
01.01.2020;07:15:00;0,186870821;0,012076903
01.01.2020;07:30:00;0,186450775;0,012110123
01.01.2020;07:45:00;0,185848422;0,011667574
01.01.2020;08:00:00;0,184871576;0,011210801
01.01.2020;08:15:00;0,184403031;0,010743934
01.01.2020;08:30:00;0,184550793;0,010280095
01.01.2020;08:45:00;0,183733195;0,010039847
01.01.2020;09:00:00;0,183758983;0,010087566
01.01.2020;09:15:00;0,183099614;0,010164651
01.01.2020;09:30:00;0,181543539;0,010324327
01.01.2020;09:45:00;0,180604553;0,010324327
01.01.2020;10:00:00;0,179378207;0,010476661
01.01.2020;10:15:00;0,177728248;0,010553745
01.01.2020;10:30:00;0,176207532;0,010755634
01.01.2020;10:45:00;0,175116328;0,011236037
01.01.2020;11:00:00;0,173125653;0,011634767
01.01.2020;11:15:00;0,171010455;0,012094064
01.01.2020;11:30:00;0,169337798;0,012477193
01.01.2020;11:45:00;0,166717515;0,012273469
01.01.2020;12:00:00;0,165441725;0,012027532
01.01.2020;12:15:00;0,164699001;0,011897222
01.01.2020;12:30:00;0,16317855;0,011897222
01.01.2020;12:45:00;0,162651317;0,011897222
01.01.2020;13:00:00;0,162512467;0,011897222
01.01.2020;13:15:00;0,161484391;0,011794443
01.01.2020;13:30:00;0,161012912;0,011526481
01.01.2020;13:45:00;0,160704282;0,011480598
01.01.2020;14:00:00;0,160657809;0,011275038
01.01.2020;14:15:00;0,160595317;0,011275038
01.01.2020;14:30:00;0,16005678;0,010990559
01.01.2020;14:45:00;0,160110338;0,010623489
01.01.2020;15:00:00;0,160888445;0,010271101
01.01.2020;15:15:00;0,160561542;0,010100414
01.01.2020;15:30:00;0,159702028;0,010100414
01.01.2020;15:45:00;0,159745514;0,010089402
01.01.2020;16:00:00;0,160874272;0,010227053
01.01.2020;16:15:00;0,161482519;0,010564758
01.01.2020;16:30:00;0,162731731;0,011029101
01.01.2020;16:45:00;0,162984161;0,011538309
01.01.2020;17:00:00;0,163031345;0,011931832
01.01.2020;17:15:00;0,163582988;0,012836004
01.01.2020;17:30:00;0,163505688;0,013694031
01.01.2020;17:45:00;0,163570536;0,01414828
01.01.2020;18:00:00;0,164771687;0,015026496
01.01.2020;18:15:00;0,166070044;0,01541816
01.01.2020;18:30:00;0,167618113;0,01650432
01.01.2020;18:45:00;0,16984031;0,016981931
01.01.2020;19:00:00;0,171121404;0,017386757
01.01.2020;19:15:00;0,172567982;0,017588646
